mein_weg_als_deutscher_und_jude_001_f000001|Mein Weg als Deutscher und Jude von Jakob Wassermann Abschnitt 1. vis animae conturbatur et divisa seorsum disiectatur, eodem illo distracta veneno.|Mein Weg als Deutscher und Jude von Jakob Wassermann Abschnitt einste vis animae conturbatur et divisa seorsum disiectatur, eodem illo distracta veneno.
mein_weg_als_deutscher_und_jude_001_f000002|Lucrez, III 498|Lucrez, III vierhundertachtundneunzig
mein_weg_als_deutscher_und_jude_001_f000003|Ferruccio Busoni dem Freund dem Künstler gewidmet.|Ferruccio Busoni dem Freund dem Künstler gewidmet.
mein_weg_als_deutscher_und_jude_001_f000004|Ohne Rücksicht auf die Gewöhnung meines Geistes, sich in Bildern und Figuren zu bewegen, will ich mir – gedrängt von innerer Not und Not der Zeit|Ohne Rücksicht auf die Gewöhnung meines Geistes, sich in Bildern und Figuren zu bewegen, will ich mir - gedrängt von innerer Not und Not der Zeit
mein_weg_als_deutscher_und_jude_001_f000005|Rechenschaft ablegen über den problematischesten Teil meines Lebens, den, der mein Judentum und meine Existenz als Jude betrifft, nicht als Jude schlechthin,|Rechenschaft ablegen über den problematischesten Teil meines Lebens, den, der mein Judentum und meine Existenz als Jude betrifft, nicht als Jude schlechthin,
mein_weg_als_deutscher_und_jude_001_f000006|sondern als deutscher Jude, zwei Begriffe, die auch dem Unbefangenen Ausblick auf Fülle von Mißverständnissen, Tragik, Widersprüchen, Hader und Leiden eröffnen.|sondern als deutscher Jude, zwei Begriffe, die auch dem Unbefangenen Ausblick auf Fülle von Mißverständnissen, Tragik, Widersprüchen, Hader und Leiden eröffnen.
mein_weg_als_deutscher_und_jude_001_f000007|Heikel war das Thema stets, ob es nun mit Scham, mit Freiheit oder Herausforderung behandelt wurde, schönfärbend von der einen, gehässig von der anderen Seite.|Heikel war das Thema stets, ob es nun mit Scham, mit Freiheit oder Herausforderung behandelt wurde, schönfärbend von der einen, gehässig von der anderen Seite.
mein_weg_als_deutscher_und_jude_001_f000008|Heute ist es ein Brandherd.|Heute ist es ein Brandherd.
mein_weg_als_deutscher_und_jude_001_f000009|Es verlangt mich, Anschauung zu geben.|Es verlangt mich, Anschauung zu geben.
mein_weg_als_deutscher_und_jude_001_f000010|Da darf denn nichts mehr gelten, was mir schon einmal als bewiesen gegolten hat.|Da darf denn nichts mehr gelten, was mir schon einmal als bewiesen gegolten hat.
mein_weg_als_deutscher_und_jude_001_f000011|Auf Beweis und Verteidigung verzichte ich somit überhaupt, auf Anklage und jede Art konstruktiver Beredsamkeit.|Auf Beweis und Verteidigung verzichte ich somit überhaupt, auf Anklage und jede Art konstruktiver Beredsamkeit.
mein_weg_als_deutscher_und_jude_001_f000012|Ich stütze mich auf das Erlebnis.|Ich stütze mich auf das Erlebnis.
