erzaehlungen_01_poe_f000001|Der Duc de l'Omelette.|Der Duc de l'Omelette.
erzaehlungen_01_poe_f000002|Keats starb an einer Kritik.|Keats starb an einer Kritik.
erzaehlungen_01_poe_f000003|Wer war es noch, der an L'Andromaque starb? Niedere Seelen.|Wer war es noch, der an L'Andromaque starb? Niedere Seelen.
erzaehlungen_01_poe_f000004|– De l'Omelette starb an einem Ortolan. L'histoire en est brève.|- De l'Omelette starb an einem Ortolan. L'histoire en est breve.
erzaehlungen_01_poe_f000005|Steh mir bei, Geist des Apicius!|Steh mir bei, Geist des Apicius!
erzaehlungen_01_poe_f000006|Ein goldener Käfig trug einen kleinen geflügelten Wanderer, ein gefesseltes, rührendes|Ein goldener Käfig trug einen kleinen geflügelten Wanderer, ein gefesseltes, rührendes
erzaehlungen_01_poe_f000007|indolentes Vögelchen, von seiner Heimat im fernen Peru nach der Chaussee d'Antin.|indolentes Vögelchen, von seiner Heimat im fernen Peru nach der Chaussee d'Antin.
erzaehlungen_01_poe_f000008|Sechs Pairs des Kaiserreiches begleiteten den glücklichen Vogel von seiner königlichen Eigentümerin|Sechs Pairs des Kaiserreiches begleiteten den glücklichen Vogel von seiner königlichen Eigentümerin
erzaehlungen_01_poe_f000009|La Bellissima, zu dem Duc de l'Omelette.|La Bellissima, zu dem Duc de l'Omelette.
erzaehlungen_01_poe_f000010|An diesem Abend wollte der Duc allein speisen.|An diesem Abend wollte der Duc allein speisen.
erzaehlungen_01_poe_f000011|In der Einsamkeit seines Arbeitszimmers lehnte er lässig auf jener Ottomane|In der Einsamkeit seines Arbeitszimmers lehnte er lässig auf jener Ottomane
erzaehlungen_01_poe_f000012|für die er seine Loyalität geopfert hatte, indem er seinen König überbot – auf der berühmten Ottomane von Cadet.|für die er seine Loyalität geopfert hatte, indem er seinen König überbot - auf der berühmten Ottomane von Cadet.
erzaehlungen_01_poe_f000013|Er gräbt sein Gesicht in die Kissen. Die Uhr schlägt.|Er gräbt sein Gesicht in die Kissen. Die Uhr schlägt.
